canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)Cn4nc(C#N)cc4C(N)=N3)c2)cn1,CHEMBL5074068,Inhibition,%,,INH,,
C[C@@]1(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)Cn2c(C#N)cnc2C(N)=N1,CHEMBL5088449,Inhibition,%,,INH,,
C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)Cn2c(C#N)cnc2C(N)=N1,CHEMBL5075933,Inhibition,%,,INH,,
CC(C)(C)OC(=O)Nc1ccc(F)c([C@]2(C)Cn3c(C#N)cnc3C(N)=N2)c1,CHEMBL5092274,Inhibition,%,,INH,,
O=C(NC1CC1)C1CCN(c2cnccc2-c2ccccc2)CC1,CHEMBL4594072,Inhibition,%,83.0,INH,%,83.0
O=C(NC1CC1)C1CCN(c2cnccc2-c2ccccn2)CC1,CHEMBL5086659,Inhibition,%,29.0,INH,%,29.0
O=C(NC1CC1)C1CCN(c2cncnc2-c2ccccc2)CC1,CHEMBL4561003,Inhibition,%,50.0,INH,%,50.0
CNC(=O)C1CCN(c2cncnc2-c2ccccc2)CC1,CHEMBL5085981,Inhibition,%,31.0,INH,%,31.0
CCNC(=O)C1CCN(c2cncnc2-c2ccccc2)CC1,CHEMBL5094350,Inhibition,%,42.0,INH,%,42.0
O=C(Nc1ccccc1)C1CCN(c2cncnc2-c2ccccc2)CC1,CHEMBL5087082,Inhibition,%,84.0,INH,%,84.0
CN(C)C(=O)C1CCN(c2cncnc2-c2ccccc2)CC1,CHEMBL5082831,Inhibition,%,28.0,INH,%,28.0
CCN(C)C(=O)C1CCN(c2cncnc2-c2ccccc2)CC1,CHEMBL5076011,Inhibition,%,35.0,INH,%,35.0
CN(C)C(=O)C1CCN(c2cncnc2-c2ccc(F)cc2)CC1,CHEMBL5093928,Inhibition,%,37.0,INH,%,37.0
CN(C)C(=O)C1CCN(c2cnccc2-c2ccccn2)CC1,CHEMBL5080231,Inhibition,%,11.0,INH,%,11.0
CN(C)C(=O)C1CCN(c2cnccc2-n2cccn2)CC1,CHEMBL5083692,Inhibition,%,1.0,INH,%,1.0
Cc1cnn(-c2ccncc2N2CCC(C(=O)N(C)C)CC2)c1,CHEMBL4532699,Inhibition,%,21.0,INH,%,21.0
Cc1ccn(-c2ccncc2N2CCC(C(=O)N(C)C)CC2)n1,CHEMBL5079582,Inhibition,%,5.0,INH,%,5.0
CN(C)C(=O)C1CCN(c2cnccc2-n2cc(Cl)cn2)CC1,CHEMBL4580834,Inhibition,%,19.0,INH,%,19.0
CN(C)C(=O)C1CCN(c2cnccc2-n2cc(Br)cn2)CC1,CHEMBL4527933,Inhibition,%,31.0,INH,%,31.0
CN(C)C(=O)C1CCN(c2cnccc2-n2cc(C(F)(F)F)cn2)CC1,CHEMBL5082660,Inhibition,%,47.0,INH,%,47.0
CN(C)C(=O)C1CCN(c2cnccc2-n2cc(C3CC3)cn2)CC1,CHEMBL4538165,Inhibition,%,56.0,INH,%,56.0
Cc1cnc(-c2ccncc2N2CCC(C(=O)N(C)C)CC2)s1,CHEMBL5083867,Inhibition,%,32.0,INH,%,32.0
